Airport,Flights
Munich Airport (MUC),39
London Heathrow Airp (LHR),17
Dubai International (DXB),14
Frankfurt am Main Ai (FRA),13
Amsterdam Airport Sc (AMS),13
John F Kennedy Inter (JFK),12
Singapore Changi Air (SIN),11
Las Américas Interna (SDQ),11
Copenhagen Kastrup A (CPH),8
Hamburg Airport (HAM),7
Hong Kong Internatio (HKG),7
Sheremetyevo Interna (SVO),7
General Edward Lawre (BOS),6
Suvarnabhumi Airport (BKK),6
Comodoro Arturo Meri (SCL),6
Hartsfield Jackson A (ATL),6
San Francisco Intern (SFO),5
Ngurah Rai (Bali) In (DPS),5
Adolfo Suárez Madrid (MAD),4
Doha International A (DIA),4
Miami International (MIA),4
Charles de Gaulle In (CDG),4
London Gatwick Airpo (LGW),4
Antalya Internationa (AYT),4
Phoenix Sky Harbor I (PHX),4
Domodedovo Internati (DME),4
Jomo Kenyatta Intern (NBO),4
Brussels Airport (BRU),3
Bandaranaike Interna (CMB),3
Kuala Lumpur Interna (KUL),3
Newcastle Airport (NCL),3
OR Tambo Internation (JNB),3
Pdte. Carlos Ibañez (PUQ),3
Pulkovo Airport (LED),3
Salt Lake City Inter (SLC),3
London Stansted Airp (STN),3
Leonardo da Vinci–Fi (FCO),3
Ronald Reagan Washin (DCA),3
Ministro Pistarini I (EZE),3
Chicago O'Hare Inter (ORD),3
Oslo Lufthavn (OSL),2
Kota Kinabalu Intern (BKI),2
Warsaw Chopin Airpor (WAW),2
Krasnodar Pashkovsky (KRR),2
Kazan International (KZN),2
Geneva Cointrin Inte (GVA),2
Helsinki Vantaa Airp (HEL),2
Sofia Airport (SOF),2
Guarulhos - Governad (GRU),2
Mount Pleasant Airpo (MPN),2